ICD_Group,country_group,n_claims,mean_nominal,median_nominal,p90_nominal,id_median,cost_multiplier_vs_id
Neoplasma/Darah,Other_Overseas,1,93864764.03,93864764.03,93864764.03,11028760.0,8.510908209989156
Neoplasma/Darah,Singapore,42,117593703.24880952,6220883.68,414654547.2349997,11028760.0,0.5640601191793093
Neoplasma/Kanker,Indonesia,426,43198992.69704225,15706177.0,95179576.5,15706177.0,1.0
Neoplasma/Kanker,Malaysia,102,42524006.066176474,24914295.92,110012431.94800001,15706177.0,1.5862737265726727
Neoplasma/Kanker,Other_Overseas,19,128618600.07431853,39879673.8594297,162665377.33846554,15706177.0,2.53910763003815
Neoplasma/Kanker,Singapore,385,130112140.98825975,70396469.0,308603868.082,15706177.0,4.48208809820493
Neoplasma/Kanker,Unknown,1,2135400.0,2135400.0,2135400.0,15706177.0,0.13595924711659624
Pencernaan,Indonesia,238,38024124.38978992,21910550.0,99923492.60000001,21910550.0,1.0
Pencernaan,Malaysia,135,19511028.02377778,16544648.0,38546526.84800001,21910550.0,0.7550996209588532
Pencernaan,Other_Overseas,2,2336500.0,2336500.0,2467300.0,21910550.0,0.1066381263820397
Pencernaan,Singapore,165,64015490.14945454,51997117.0,144501831.132,21910550.0,2.373154348019561
Pencernaan,Unknown,1,32228595.0,32228595.0,32228595.0,21910550.0,1.470916750150042
Respiratori,Indonesia,155,45081790.79019354,20537800.0,88564231.2,20537800.0,1.0
Respiratori,Malaysia,5,35213910.43,30365780.45,64136603.914000005,20537800.0,1.4785313154281374
Respiratori,Singapore,13,223326521.70076922,9560135.0,588861181.5780001,20537800.0,0.46548973112991654
Saraf,Indonesia,37,47023898.432432435,18510678.0,70346991.99999999,18510678.0,1.0
Saraf,Malaysia,4,12269146.2725,8068420.83,22999908.085,18510678.0,0.43587927087273626
Saraf,Singapore,5,328582909.67,179574666.5,760669795.8120002,18510678.0,9.701139336981607
